Specific_rotational_speed;Eta_design
3.3637177556160696; 0.8731340947100075
3.5149794543640023; 0.8830226998568752
3.6705739750368194; 0.8944997264205619
3.8862671583530526; 0.9028628449006824
4.090812752560242; 0.9083870751660433
4.300723670101306; 0.9100031419600765
4.518813780991819; 0.9101307245813707
4.74805160998004; 0.9084691631777944
5.003866483662807; 0.9022651370372963
5.209217672008975; 0.8958664050828212
5.463531167942854; 0.8889573169484133
5.60200639083079; 0.8823005751751929
5.813892003226579; 0.872661205578117
5.984851846195645; 0.8642439656033363
