Time (CET),Day-ahead Total Load Forecast [MW] - Netherlands (NL),Actual Total Load [MW] - Netherlands (NL)
02.01.2018 02:00 - 02.01.2018 02:15,11149,10076
02.01.2018 02:15 - 02.01.2018 02:30,11044,10001
02.01.2018 02:30 - 02.01.2018 02:45,10989,9969
02.01.2018 02:45 - 02.01.2018 03:00,10931,9913
02.01.2018 03:00 - 02.01.2018 03:15,10890,9935
02.01.2018 03:15 - 02.01.2018 03:30,10911,9873
02.01.2018 03:30 - 02.01.2018 03:45,10920,9895
02.01.2018 03:45 - 02.01.2018 04:00,10935,9836
02.01.2018 04:00 - 02.01.2018 04:15,10936,9893
02.01.2018 04:15 - 02.01.2018 04:30,10965,9975
02.01.2018 04:30 - 02.01.2018 04:45,11006,10002
02.01.2018 04:45 - 02.01.2018 05:00,11067,10106
02.01.2018 05:00 - 02.01.2018 05:15,11096,10219
02.01.2018 05:15 - 02.01.2018 05:30,11287,10402
02.01.2018 05:30 - 02.01.2018 05:45,11513,10629
02.01.2018 05:45 - 02.01.2018 06:00,11725,10884
02.01.2018 06:00 - 02.01.2018 06:15,11994,11370
02.01.2018 06:15 - 02.01.2018 06:30,12458,11709
02.01.2018 06:30 - 02.01.2018 06:45,12783,12066
02.01.2018 06:45 - 02.01.2018 07:00,13234,12399
02.01.2018 07:00 - 02.01.2018 07:15,13641,12810
02.01.2018 07:15 - 02.01.2018 07:30,14227,13260
02.01.2018 07:30 - 02.01.2018 07:45,14988,13732
02.01.2018 07:45 - 02.01.2018 08:00,15498,14147
02.01.2018 08:00 - 02.01.2018 08:15,15864,14553
02.01.2018 08:15 - 02.01.2018 08:30,16234,14876
02.01.2018 08:30 - 02.01.2018 08:45,16603,15144
02.01.2018 08:45 - 02.01.2018 09:00,16770,15318
02.01.2018 09:00 - 02.01.2018 09:15,16886,15546
02.01.2018 09:15 - 02.01.2018 09:30,17021,15767
02.01.2018 09:30 - 02.01.2018 09:45,17161,15898
02.01.2018 09:45 - 02.01.2018 10:00,17275,16007
02.01.2018 10:00 - 02.01.2018 10:15,17318,16087
02.01.2018 10:15 - 02.01.2018 10:30,17372,16020
02.01.2018 10:30 - 02.01.2018 10:45,17402,16044
02.01.2018 10:45 - 02.01.2018 11:00,17402,16065
02.01.2018 11:00 - 02.01.2018 11:15,17383,16055
02.01.2018 11:15 - 02.01.2018 11:30,17376,16076
02.01.2018 11:30 - 02.01.2018 11:45,15116,16097
02.01.2018 11:45 - 02.01.2018 12:00,17319,16141
02.01.2018 12:00 - 02.01.2018 12:15,17309,16123
02.01.2018 12:15 - 02.01.2018 12:30,17285,16125
02.01.2018 12:30 - 02.01.2018 12:45,17239,16048
02.01.2018 12:45 - 02.01.2018 13:00,17105,16012
02.01.2018 13:00 - 02.01.2018 13:15,17104,16090
02.01.2018 13:15 - 02.01.2018 13:30,17157,16169
02.01.2018 13:30 - 02.01.2018 13:45,17156,16231
02.01.2018 13:45 - 02.01.2018 14:00,17098,16227
02.01.2018 14:00 - 02.01.2018 14:15,17086,16230
02.01.2018 14:15 - 02.01.2018 14:30,17074,16305
02.01.2018 14:30 - 02.01.2018 14:45,17086,16258
02.01.2018 14:45 - 02.01.2018 15:00,17110,16278
02.01.2018 15:00 - 02.01.2018 15:15,17131,16298
02.01.2018 15:15 - 02.01.2018 15:30,17150,16246
02.01.2018 15:30 - 02.01.2018 15:45,17279,16274
02.01.2018 15:45 - 02.01.2018 16:00,17389,16374
02.01.2018 16:00 - 02.01.2018 16:15,17416,16440
02.01.2018 16:15 - 02.01.2018 16:30,17394,16591
02.01.2018 16:30 - 02.01.2018 16:45,17574,16800
02.01.2018 16:45 - 02.01.2018 17:00,17950,17260
02.01.2018 17:00 - 02.01.2018 17:15,18307,17463
02.01.2018 17:15 - 02.01.2018 17:30,18300,17699
02.01.2018 17:30 - 02.01.2018 17:45,18380,17730
02.01.2018 17:45 - 02.01.2018 18:00,18400,17645
02.01.2018 18:00 - 02.01.2018 18:15,18282,17155
02.01.2018 18:15 - 02.01.2018 18:30,17477,16868
02.01.2018 18:30 - 02.01.2018 18:45,17183,16672
02.01.2018 18:45 - 02.01.2018 19:00,17033,16586
02.01.2018 19:00 - 02.01.2018 19:15,16875,16380
02.01.2018 19:15 - 02.01.2018 19:30,16577,16189
02.01.2018 19:30 - 02.01.2018 19:45,16362,16061
02.01.2018 19:45 - 02.01.2018 20:00,16176,15967
02.01.2018 20:00 - 02.01.2018 20:15,16027,15741
02.01.2018 20:15 - 02.01.2018 20:30,15868,15506
02.01.2018 20:30 - 02.01.2018 20:45,15729,15245
02.01.2018 20:45 - 02.01.2018 21:00,15504,14924
02.01.2018 21:00 - 02.01.2018 21:15,15342,14687
02.01.2018 21:15 - 02.01.2018 21:30,15298,14562
02.01.2018 21:30 - 02.01.2018 21:45,15048,14284
02.01.2018 21:45 - 02.01.2018 22:00,14771,14087
02.01.2018 22:00 - 02.01.2018 22:15,14496,13834
02.01.2018 22:15 - 02.01.2018 22:30,14148,13597
02.01.2018 22:30 - 02.01.2018 22:45,13797,13236
02.01.2018 22:45 - 02.01.2018 23:00,13467,13002
02.01.2018 23:00 - 02.01.2018 23:15,13180,12812
02.01.2018 23:15 - 02.01.2018 23:30,13023,12634
02.01.2018 23:30 - 02.01.2018 23:45,12786,12436
02.01.2018 23:45 - 03.01.2018 00:00,12455,12189
03.01.2018 00:00 - 03.01.2018 00:15,12225,11952
03.01.2018 00:15 - 03.01.2018 00:30,12266,11800
03.01.2018 00:30 - 03.01.2018 00:45,12184,11623
03.01.2018 00:45 - 03.01.2018 01:00,12010,11498
03.01.2018 01:00 - 03.01.2018 01:15,11799,11327
03.01.2018 01:15 - 03.01.2018 01:30,11571,11253
03.01.2018 01:30 - 03.01.2018 01:45,11448,11163
03.01.2018 01:45 - 03.01.2018 02:00,11302,11027
03.01.2018 02:00 - 03.01.2018 02:15,11141,10992
03.01.2018 02:15 - 03.01.2018 02:30,10991,10959
03.01.2018 02:30 - 03.01.2018 02:45,10890,10892
03.01.2018 02:45 - 03.01.2018 03:00,10806,10860
03.01.2018 03:00 - 03.01.2018 03:15,10767,10904
03.01.2018 03:15 - 03.01.2018 03:30,10722,10875
03.01.2018 03:30 - 03.01.2018 03:45,10705,10850
03.01.2018 03:45 - 03.01.2018 04:00,10674,10841
03.01.2018 04:00 - 03.01.2018 04:15,10707,10892
