Time (CET),Day-ahead Total Load Forecast [MW] - Netherlands (NL),Actual Total Load [MW] - Netherlands (NL)
20.04.2018 05:00 - 20.04.2018 05:15,11439,10639
20.04.2018 05:15 - 20.04.2018 05:30,11633,10760
20.04.2018 05:30 - 20.04.2018 05:45,11816,10944
20.04.2018 05:45 - 20.04.2018 06:00,12082,11156
20.04.2018 06:00 - 20.04.2018 06:15,12453,11454
20.04.2018 06:15 - 20.04.2018 06:30,12878,11687
20.04.2018 06:30 - 20.04.2018 06:45,13282,11988
20.04.2018 06:45 - 20.04.2018 07:00,13587,12338
20.04.2018 07:00 - 20.04.2018 07:15,13964,12777
20.04.2018 07:15 - 20.04.2018 07:30,14396,13275
20.04.2018 07:30 - 20.04.2018 07:45,14848,13638
20.04.2018 07:45 - 20.04.2018 08:00,15222,13875
20.04.2018 08:00 - 20.04.2018 08:15,15553,14145
20.04.2018 08:15 - 20.04.2018 08:30,15730,14247
20.04.2018 08:30 - 20.04.2018 08:45,15836,14391
20.04.2018 08:45 - 20.04.2018 09:00,15946,14538
20.04.2018 09:00 - 20.04.2018 09:15,15988,14550
20.04.2018 09:15 - 20.04.2018 09:30,15882,14604
20.04.2018 09:30 - 20.04.2018 09:45,15722,14561
20.04.2018 09:45 - 20.04.2018 10:00,15571,14506
20.04.2018 10:00 - 20.04.2018 10:15,15396,14501
20.04.2018 10:15 - 20.04.2018 10:30,15198,14460
20.04.2018 10:30 - 20.04.2018 10:45,14954,14437
20.04.2018 10:45 - 20.04.2018 11:00,14805,14423
20.04.2018 11:00 - 20.04.2018 11:15,14720,14374
20.04.2018 11:15 - 20.04.2018 11:30,14638,14340
20.04.2018 11:30 - 20.04.2018 11:45,14535,14249
20.04.2018 11:45 - 20.04.2018 12:00,14429,14233
20.04.2018 12:00 - 20.04.2018 12:15,14336,14125
20.04.2018 12:15 - 20.04.2018 12:30,14194,13981
20.04.2018 12:30 - 20.04.2018 12:45,14036,13865
20.04.2018 12:45 - 20.04.2018 13:00,13813,13782
20.04.2018 13:00 - 20.04.2018 13:15,13721,13846
20.04.2018 13:15 - 20.04.2018 13:30,13784,13919
20.04.2018 13:30 - 20.04.2018 13:45,13801,13900
20.04.2018 13:45 - 20.04.2018 14:00,13776,13871
20.04.2018 14:00 - 20.04.2018 14:15,13735,13820
20.04.2018 14:15 - 20.04.2018 14:30,13657,13788
20.04.2018 14:30 - 20.04.2018 14:45,13578,13773
20.04.2018 14:45 - 20.04.2018 15:00,13570,13821
20.04.2018 15:00 - 20.04.2018 15:15,13586,13738
20.04.2018 15:15 - 20.04.2018 15:30,13635,13713
20.04.2018 15:30 - 20.04.2018 15:45,13703,13779
20.04.2018 15:45 - 20.04.2018 16:00,13747,13820
20.04.2018 16:00 - 20.04.2018 16:15,13824,13767
20.04.2018 16:15 - 20.04.2018 16:30,13886,13781
20.04.2018 16:30 - 20.04.2018 16:45,13965,13793
20.04.2018 16:45 - 20.04.2018 17:00,14149,13911
20.04.2018 17:00 - 20.04.2018 17:15,14326,14013
20.04.2018 17:15 - 20.04.2018 17:30,14510,14111
20.04.2018 17:30 - 20.04.2018 17:45,14693,14170
20.04.2018 17:45 - 20.04.2018 18:00,14821,14263
20.04.2018 18:00 - 20.04.2018 18:15,14733,14066
20.04.2018 18:15 - 20.04.2018 18:30,14557,13966
20.04.2018 18:30 - 20.04.2018 18:45,14470,13910
20.04.2018 18:45 - 20.04.2018 19:00,14454,13927
20.04.2018 19:00 - 20.04.2018 19:15,14382,13816
20.04.2018 19:15 - 20.04.2018 19:30,14359,13792
20.04.2018 19:30 - 20.04.2018 19:45,14346,13773
20.04.2018 19:45 - 20.04.2018 20:00,14351,13680
20.04.2018 20:00 - 20.04.2018 20:15,14392,13613
20.04.2018 20:15 - 20.04.2018 20:30,14504,13597
20.04.2018 20:30 - 20.04.2018 20:45,14566,13471
20.04.2018 20:45 - 20.04.2018 21:00,14597,13552
20.04.2018 21:00 - 20.04.2018 21:15,14619,13684
20.04.2018 21:15 - 20.04.2018 21:30,14515,13670
20.04.2018 21:30 - 20.04.2018 21:45,14266,13551
20.04.2018 21:45 - 20.04.2018 22:00,14045,13299
20.04.2018 22:00 - 20.04.2018 22:15,13752,13108
20.04.2018 22:15 - 20.04.2018 22:30,13504,12893
20.04.2018 22:30 - 20.04.2018 22:45,13294,12667
20.04.2018 22:45 - 20.04.2018 23:00,13036,12445
20.04.2018 23:00 - 20.04.2018 23:15,12806,12339
20.04.2018 23:15 - 20.04.2018 23:30,12709,12139
20.04.2018 23:30 - 20.04.2018 23:45,12454,11880
20.04.2018 23:45 - 21.04.2018 00:00,12206,11613
21.04.2018 00:00 - 21.04.2018 00:15,12061,11397
21.04.2018 00:15 - 21.04.2018 00:30,11963,11189
21.04.2018 00:30 - 21.04.2018 00:45,11752,11013
21.04.2018 00:45 - 21.04.2018 01:00,11575,10831
21.04.2018 01:00 - 21.04.2018 01:15,11399,10612
21.04.2018 01:15 - 21.04.2018 01:30,11268,10505
21.04.2018 01:30 - 21.04.2018 01:45,11166,10387
21.04.2018 01:45 - 21.04.2018 02:00,11020,10320
21.04.2018 02:00 - 21.04.2018 02:15,10894,10231
21.04.2018 02:15 - 21.04.2018 02:30,10882,10109
21.04.2018 02:30 - 21.04.2018 02:45,10782,10067
21.04.2018 02:45 - 21.04.2018 03:00,10704,10015
21.04.2018 03:00 - 21.04.2018 03:15,10630,9951
21.04.2018 03:15 - 21.04.2018 03:30,10639,9885
21.04.2018 03:30 - 21.04.2018 03:45,10669,9802
21.04.2018 03:45 - 21.04.2018 04:00,10653,9793
21.04.2018 04:00 - 21.04.2018 04:15,10630,9808
21.04.2018 04:15 - 21.04.2018 04:30,10663,9779
21.04.2018 04:30 - 21.04.2018 04:45,10741,9804
21.04.2018 04:45 - 21.04.2018 05:00,10775,9735
21.04.2018 05:00 - 21.04.2018 05:15,10802,9786
21.04.2018 05:15 - 21.04.2018 05:30,10885,9887
21.04.2018 05:30 - 21.04.2018 05:45,10951,9894
21.04.2018 05:45 - 21.04.2018 06:00,11005,9970
21.04.2018 06:00 - 21.04.2018 06:15,11073,10045
21.04.2018 06:15 - 21.04.2018 06:30,11233,10028
21.04.2018 06:30 - 21.04.2018 06:45,11385,10066
21.04.2018 06:45 - 21.04.2018 07:00,11524,10183
21.04.2018 07:00 - 21.04.2018 07:15,11600,10361
21.04.2018 07:15 - 21.04.2018 07:30,11773,10494
21.04.2018 07:30 - 21.04.2018 07:45,11966,10678
21.04.2018 07:45 - 21.04.2018 08:00,12214,10855
21.04.2018 08:00 - 21.04.2018 08:15,12383,11046
21.04.2018 08:15 - 21.04.2018 08:30,12553,11167
21.04.2018 08:30 - 21.04.2018 08:45,12751,11306
21.04.2018 08:45 - 21.04.2018 09:00,12877,11462
21.04.2018 09:00 - 21.04.2018 09:15,12974,11615
21.04.2018 09:15 - 21.04.2018 09:30,12970,11681
21.04.2018 09:30 - 21.04.2018 09:45,12984,11705
21.04.2018 09:45 - 21.04.2018 10:00,12934,11698
21.04.2018 10:00 - 21.04.2018 10:15,12776,11696
21.04.2018 10:15 - 21.04.2018 10:30,12633,11643
21.04.2018 10:30 - 21.04.2018 10:45,12480,11532
21.04.2018 10:45 - 21.04.2018 11:00,12314,11534
21.04.2018 11:00 - 21.04.2018 11:15,12209,11442
21.04.2018 11:15 - 21.04.2018 11:30,12240,11383
21.04.2018 11:30 - 21.04.2018 11:45,12171,11255
21.04.2018 11:45 - 21.04.2018 12:00,12094,11243
21.04.2018 12:00 - 21.04.2018 12:15,12080,11157
21.04.2018 12:15 - 21.04.2018 12:30,14513,11081
21.04.2018 12:30 - 21.04.2018 12:45,19000,10973
21.04.2018 12:45 - 21.04.2018 13:00,18910,10906
21.04.2018 13:00 - 21.04.2018 13:15,18842,10855
21.04.2018 13:15 - 21.04.2018 13:30,17458,10794
21.04.2018 13:30 - 21.04.2018 13:45,13658,10725
21.04.2018 13:45 - 21.04.2018 14:00,11411,10681
21.04.2018 14:00 - 21.04.2018 14:15,11423,10618
21.04.2018 14:15 - 21.04.2018 14:30,11407,10590
21.04.2018 14:30 - 21.04.2018 14:45,11353,10571
21.04.2018 14:45 - 21.04.2018 15:00,11296,10557
21.04.2018 15:00 - 21.04.2018 15:15,11322,10492
21.04.2018 15:15 - 21.04.2018 15:30,11335,10589
21.04.2018 15:30 - 21.04.2018 15:45,11351,10596
21.04.2018 15:45 - 21.04.2018 16:00,11412,10655
21.04.2018 16:00 - 21.04.2018 16:15,11518,10680
21.04.2018 16:15 - 21.04.2018 16:30,11658,10775
21.04.2018 16:30 - 21.04.2018 16:45,11843,10903
21.04.2018 16:45 - 21.04.2018 17:00,12031,11070
21.04.2018 17:00 - 21.04.2018 17:15,12238,11210
21.04.2018 17:15 - 21.04.2018 17:30,12434,11412
21.04.2018 17:30 - 21.04.2018 17:45,12697,11624
21.04.2018 17:45 - 21.04.2018 18:00,12916,11818
21.04.2018 18:00 - 21.04.2018 18:15,13083,11846
21.04.2018 18:15 - 21.04.2018 18:30,13161,11889
21.04.2018 18:30 - 21.04.2018 18:45,13222,11916
21.04.2018 18:45 - 21.04.2018 19:00,13230,11953
21.04.2018 19:00 - 21.04.2018 19:15,13283,11992
21.04.2018 19:15 - 21.04.2018 19:30,13266,12011
21.04.2018 19:30 - 21.04.2018 19:45,13266,12033
21.04.2018 19:45 - 21.04.2018 20:00,13286,12057
21.04.2018 20:00 - 21.04.2018 20:15,13312,12070
21.04.2018 20:15 - 21.04.2018 20:30,13378,12098
21.04.2018 20:30 - 21.04.2018 20:45,13534,12085
21.04.2018 20:45 - 21.04.2018 21:00,13597,12150
21.04.2018 21:00 - 21.04.2018 21:15,13516,12355
21.04.2018 21:15 - 21.04.2018 21:30,13448,12436
21.04.2018 21:30 - 21.04.2018 21:45,13351,12316
21.04.2018 21:45 - 21.04.2018 22:00,13196,12214
21.04.2018 22:00 - 21.04.2018 22:15,13074,12058
21.04.2018 22:15 - 21.04.2018 22:30,13062,11888
21.04.2018 22:30 - 21.04.2018 22:45,12958,11763
21.04.2018 22:45 - 21.04.2018 23:00,12788,11604
21.04.2018 23:00 - 21.04.2018 23:15,12691,11440
21.04.2018 23:15 - 21.04.2018 23:30,12594,11211
21.04.2018 23:30 - 21.04.2018 23:45,12378,11033
21.04.2018 23:45 - 22.04.2018 00:00,12207,10803
22.04.2018 00:00 - 22.04.2018 00:15,12017,10653
22.04.2018 00:15 - 22.04.2018 00:30,11982,10499
22.04.2018 00:30 - 22.04.2018 00:45,11897,10316
22.04.2018 00:45 - 22.04.2018 01:00,11715,10140
22.04.2018 01:00 - 22.04.2018 01:15,11575,9988
22.04.2018 01:15 - 22.04.2018 01:30,11438,9830
22.04.2018 01:30 - 22.04.2018 01:45,11315,9724
22.04.2018 01:45 - 22.04.2018 02:00,11145,9675
22.04.2018 02:00 - 22.04.2018 02:15,11003,9618
22.04.2018 02:15 - 22.04.2018 02:30,10951,9574
22.04.2018 02:30 - 22.04.2018 02:45,10923,9502
22.04.2018 02:45 - 22.04.2018 03:00,10865,9443
22.04.2018 03:00 - 22.04.2018 03:15,10808,9449
22.04.2018 03:15 - 22.04.2018 03:30,10777,9444
22.04.2018 03:30 - 22.04.2018 03:45,10763,9390
22.04.2018 03:45 - 22.04.2018 04:00,10735,9371
22.04.2018 04:00 - 22.04.2018 04:15,10679,9348
22.04.2018 04:15 - 22.04.2018 04:30,10684,9326
22.04.2018 04:30 - 22.04.2018 04:45,10700,9294
22.04.2018 04:45 - 22.04.2018 05:00,10689,9305
22.04.2018 05:00 - 22.04.2018 05:15,10670,9270
22.04.2018 05:15 - 22.04.2018 05:30,10678,9303
22.04.2018 05:30 - 22.04.2018 05:45,10727,9341
22.04.2018 05:45 - 22.04.2018 06:00,10766,9401
22.04.2018 06:00 - 22.04.2018 06:15,10773,9369
22.04.2018 06:15 - 22.04.2018 06:30,10815,9248
22.04.2018 06:30 - 22.04.2018 06:45,10858,9209
22.04.2018 06:45 - 22.04.2018 07:00,10893,9240
22.04.2018 07:00 - 22.04.2018 07:15,10929,9386
22.04.2018 07:15 - 22.04.2018 07:30,11024,9387
22.04.2018 07:30 - 22.04.2018 07:45,11141,9516
22.04.2018 07:45 - 22.04.2018 08:00,11277,9672
22.04.2018 08:00 - 22.04.2018 08:15,11421,9753
22.04.2018 08:15 - 22.04.2018 08:30,11524,9841
22.04.2018 08:30 - 22.04.2018 08:45,11701,9993
22.04.2018 08:45 - 22.04.2018 09:00,11857,10107
22.04.2018 09:00 - 22.04.2018 09:15,11950,10244
22.04.2018 09:15 - 22.04.2018 09:30,11981,10270
22.04.2018 09:30 - 22.04.2018 09:45,12028,10338
22.04.2018 09:45 - 22.04.2018 10:00,12047,10363
22.04.2018 10:00 - 22.04.2018 10:15,12024,10424
22.04.2018 10:15 - 22.04.2018 10:30,11982,10435
22.04.2018 10:30 - 22.04.2018 10:45,11892,10389
22.04.2018 10:45 - 22.04.2018 11:00,11809,10435
22.04.2018 11:00 - 22.04.2018 11:15,11708,10445
22.04.2018 11:15 - 22.04.2018 11:30,11803,10526
22.04.2018 11:30 - 22.04.2018 11:45,11781,10594
22.04.2018 11:45 - 22.04.2018 12:00,11760,10609
22.04.2018 12:00 - 22.04.2018 12:15,11747,10541
22.04.2018 12:15 - 22.04.2018 12:30,11745,10453
22.04.2018 12:30 - 22.04.2018 12:45,11703,10342
22.04.2018 12:45 - 22.04.2018 13:00,11663,10301
22.04.2018 13:00 - 22.04.2018 13:15,11598,10319
22.04.2018 13:15 - 22.04.2018 13:30,11555,10322
22.04.2018 13:30 - 22.04.2018 13:45,11528,10289
22.04.2018 13:45 - 22.04.2018 14:00,11449,10252
22.04.2018 14:00 - 22.04.2018 14:15,11368,10137
22.04.2018 14:15 - 22.04.2018 14:30,11328,10112
22.04.2018 14:30 - 22.04.2018 14:45,11301,10090
22.04.2018 14:45 - 22.04.2018 15:00,11318,10105
22.04.2018 15:00 - 22.04.2018 15:15,11340,10119
22.04.2018 15:15 - 22.04.2018 15:30,11325,10170
22.04.2018 15:30 - 22.04.2018 15:45,11358,10256
22.04.2018 15:45 - 22.04.2018 16:00,11401,10398
22.04.2018 16:00 - 22.04.2018 16:15,11392,10493
22.04.2018 16:15 - 22.04.2018 16:30,11443,10663
22.04.2018 16:30 - 22.04.2018 16:45,11565,10887
22.04.2018 16:45 - 22.04.2018 17:00,11759,11158
22.04.2018 17:00 - 22.04.2018 17:15,11943,11425
22.04.2018 17:15 - 22.04.2018 17:30,12123,11656
22.04.2018 17:30 - 22.04.2018 17:45,12478,11898
22.04.2018 17:45 - 22.04.2018 18:00,12810,12086
22.04.2018 18:00 - 22.04.2018 18:15,12946,12184
22.04.2018 18:15 - 22.04.2018 18:30,12936,12159
22.04.2018 18:30 - 22.04.2018 18:45,12972,12172
22.04.2018 18:45 - 22.04.2018 19:00,12986,12163
22.04.2018 19:00 - 22.04.2018 19:15,12992,12151
22.04.2018 19:15 - 22.04.2018 19:30,12927,12178
22.04.2018 19:30 - 22.04.2018 19:45,12893,12133
22.04.2018 19:45 - 22.04.2018 20:00,12934,12151
22.04.2018 20:00 - 22.04.2018 20:15,13009,12213
22.04.2018 20:15 - 22.04.2018 20:30,13132,12221
22.04.2018 20:30 - 22.04.2018 20:45,13389,12281
22.04.2018 20:45 - 22.04.2018 21:00,13518,12376
22.04.2018 21:00 - 22.04.2018 21:15,13592,12568
22.04.2018 21:15 - 22.04.2018 21:30,13587,12707
22.04.2018 21:30 - 22.04.2018 21:45,13480,12615
22.04.2018 21:45 - 22.04.2018 22:00,13321,12486
22.04.2018 22:00 - 22.04.2018 22:15,13225,12334
22.04.2018 22:15 - 22.04.2018 22:30,13135,12159
22.04.2018 22:30 - 22.04.2018 22:45,12979,11977
22.04.2018 22:45 - 22.04.2018 23:00,12760,11755
22.04.2018 23:00 - 22.04.2018 23:15,12560,11488
22.04.2018 23:15 - 22.04.2018 23:30,12382,11254
22.04.2018 23:30 - 22.04.2018 23:45,12145,11071
22.04.2018 23:45 - 23.04.2018 00:00,11870,10823
23.04.2018 00:00 - 23.04.2018 00:15,11730,10700
23.04.2018 00:15 - 23.04.2018 00:30,11747,10492
23.04.2018 00:30 - 23.04.2018 00:45,11629,10283
23.04.2018 00:45 - 23.04.2018 01:00,11487,10124
23.04.2018 01:00 - 23.04.2018 01:15,11343,9996
23.04.2018 01:15 - 23.04.2018 01:30,11257,9941
23.04.2018 01:30 - 23.04.2018 01:45,11204,9876
23.04.2018 01:45 - 23.04.2018 02:00,11096,9837
23.04.2018 02:00 - 23.04.2018 02:15,11021,9793
23.04.2018 02:15 - 23.04.2018 02:30,11023,9801
23.04.2018 02:30 - 23.04.2018 02:45,10988,9800
23.04.2018 02:45 - 23.04.2018 03:00,10955,9743
23.04.2018 03:00 - 23.04.2018 03:15,10929,9800
23.04.2018 03:15 - 23.04.2018 03:30,10885,9746
23.04.2018 03:30 - 23.04.2018 03:45,10901,9789
23.04.2018 03:45 - 23.04.2018 04:00,10913,9837
23.04.2018 04:00 - 23.04.2018 04:15,10906,9841
23.04.2018 04:15 - 23.04.2018 04:30,10924,9869
23.04.2018 04:30 - 23.04.2018 04:45,10993,9922
23.04.2018 04:45 - 23.04.2018 05:00,11032,9941
23.04.2018 05:00 - 23.04.2018 05:15,11108,10126
23.04.2018 05:15 - 23.04.2018 05:30,11232,10263
23.04.2018 05:30 - 23.04.2018 05:45,11390,10415
23.04.2018 05:45 - 23.04.2018 06:00,11616,10714
23.04.2018 06:00 - 23.04.2018 06:15,11844,11073
23.04.2018 06:15 - 23.04.2018 06:30,12192,11292
23.04.2018 06:30 - 23.04.2018 06:45,12520,11600
23.04.2018 06:45 - 23.04.2018 07:00,12745,11935
23.04.2018 07:00 - 23.04.2018 07:15,12981,12467
23.04.2018 07:15 - 23.04.2018 07:30,13313,12852
23.04.2018 07:30 - 23.04.2018 07:45,13729,13206
23.04.2018 07:45 - 23.04.2018 08:00,14120,13554
23.04.2018 08:00 - 23.04.2018 08:15,14413,13793
23.04.2018 08:15 - 23.04.2018 08:30,14602,13939
23.04.2018 08:30 - 23.04.2018 08:45,14787,14067
23.04.2018 08:45 - 23.04.2018 09:00,14942,14136
23.04.2018 09:00 - 23.04.2018 09:15,15007,14167
23.04.2018 09:15 - 23.04.2018 09:30,14941,14104
23.04.2018 09:30 - 23.04.2018 09:45,14916,14049
23.04.2018 09:45 - 23.04.2018 10:00,14886,14084
23.04.2018 10:00 - 23.04.2018 10:15,14869,14037
23.04.2018 10:15 - 23.04.2018 10:30,14656,13965
23.04.2018 10:30 - 23.04.2018 10:45,14487,13903
23.04.2018 10:45 - 23.04.2018 11:00,14545,13935
23.04.2018 11:00 - 23.04.2018 11:15,14506,13889
23.04.2018 11:15 - 23.04.2018 11:30,14395,13857
23.04.2018 11:30 - 23.04.2018 11:45,14281,13781
23.04.2018 11:45 - 23.04.2018 12:00,14176,13741
23.04.2018 12:00 - 23.04.2018 12:15,14093,13656
23.04.2018 12:15 - 23.04.2018 12:30,14002,13557
23.04.2018 12:30 - 23.04.2018 12:45,13904,13443
23.04.2018 12:45 - 23.04.2018 13:00,13841,13470
23.04.2018 13:00 - 23.04.2018 13:15,13849,13505
23.04.2018 13:15 - 23.04.2018 13:30,13920,13545
23.04.2018 13:30 - 23.04.2018 13:45,13959,13586
23.04.2018 13:45 - 23.04.2018 14:00,13656,13549
23.04.2018 14:00 - 23.04.2018 14:15,13557,13676
23.04.2018 14:15 - 23.04.2018 14:30,13707,13808
23.04.2018 14:30 - 23.04.2018 14:45,13706,13768
23.04.2018 14:45 - 23.04.2018 15:00,13674,13761
23.04.2018 15:00 - 23.04.2018 15:15,13694,13749
23.04.2018 15:15 - 23.04.2018 15:30,13694,13736
23.04.2018 15:30 - 23.04.2018 15:45,13743,13774
23.04.2018 15:45 - 23.04.2018 16:00,13810,13741
23.04.2018 16:00 - 23.04.2018 16:15,13864,13714
23.04.2018 16:15 - 23.04.2018 16:30,13956,13718
23.04.2018 16:30 - 23.04.2018 16:45,14032,13683
23.04.2018 16:45 - 23.04.2018 17:00,14115,13815
23.04.2018 17:00 - 23.04.2018 17:15,14250,13861
23.04.2018 17:15 - 23.04.2018 17:30,14442,14006
23.04.2018 17:30 - 23.04.2018 17:45,14598,14068
23.04.2018 17:45 - 23.04.2018 18:00,14687,14106
23.04.2018 18:00 - 23.04.2018 18:15,14690,13928
23.04.2018 18:15 - 23.04.2018 18:30,14511,13806
23.04.2018 18:30 - 23.04.2018 18:45,14438,13732
23.04.2018 18:45 - 23.04.2018 19:00,14369,13752
23.04.2018 19:00 - 23.04.2018 19:15,14318,13710
23.04.2018 19:15 - 23.04.2018 19:30,14250,13727
23.04.2018 19:30 - 23.04.2018 19:45,14254,13626
23.04.2018 19:45 - 23.04.2018 20:00,14266,13678
23.04.2018 20:00 - 23.04.2018 20:15,14352,13582
23.04.2018 20:15 - 23.04.2018 20:30,14497,13491
23.04.2018 20:30 - 23.04.2018 20:45,14664,13507
23.04.2018 20:45 - 23.04.2018 21:00,14761,13606
23.04.2018 21:00 - 23.04.2018 21:15,14811,13751
23.04.2018 21:15 - 23.04.2018 21:30,14792,13836
23.04.2018 21:30 - 23.04.2018 21:45,14602,13647
23.04.2018 21:45 - 23.04.2018 22:00,14399,13400
23.04.2018 22:00 - 23.04.2018 22:15,14148,13125
23.04.2018 22:15 - 23.04.2018 22:30,13834,12903
23.04.2018 22:30 - 23.04.2018 22:45,13542,12659
23.04.2018 22:45 - 23.04.2018 23:00,13261,12340
23.04.2018 23:00 - 23.04.2018 23:15,12990,12216
23.04.2018 23:15 - 23.04.2018 23:30,12879,11987
23.04.2018 23:30 - 23.04.2018 23:45,12596,11696
23.04.2018 23:45 - 24.04.2018 00:00,12311,11477
24.04.2018 00:00 - 24.04.2018 00:15,12074,11230
24.04.2018 00:15 - 24.04.2018 00:30,11936,11052
24.04.2018 00:30 - 24.04.2018 00:45,11793,10877
24.04.2018 00:45 - 24.04.2018 01:00,11564,10683
24.04.2018 01:00 - 24.04.2018 01:15,11374,10541
24.04.2018 01:15 - 24.04.2018 01:30,11215,10393
24.04.2018 01:30 - 24.04.2018 01:45,11075,10294
24.04.2018 01:45 - 24.04.2018 02:00,10927,10212
24.04.2018 02:00 - 24.04.2018 02:15,10834,10208
24.04.2018 02:15 - 24.04.2018 02:30,10769,10155
24.04.2018 02:30 - 24.04.2018 02:45,10717,10120
24.04.2018 02:45 - 24.04.2018 03:00,10647,10089
24.04.2018 03:00 - 24.04.2018 03:15,10631,10074
24.04.2018 03:15 - 24.04.2018 03:30,10646,10063
24.04.2018 03:30 - 24.04.2018 03:45,10633,10063
24.04.2018 03:45 - 24.04.2018 04:00,10578,10011
24.04.2018 04:00 - 24.04.2018 04:15,10549,10006
24.04.2018 04:15 - 24.04.2018 04:30,10530,10067
24.04.2018 04:30 - 24.04.2018 04:45,10532,10092
24.04.2018 04:45 - 24.04.2018 05:00,10544,10120
24.04.2018 05:00 - 24.04.2018 05:15,10641,10327
24.04.2018 05:15 - 24.04.2018 05:30,10815,10507
24.04.2018 05:30 - 24.04.2018 05:45,11023,10666
24.04.2018 05:45 - 24.04.2018 06:00,11284,10917
24.04.2018 06:00 - 24.04.2018 06:15,11739,11311
24.04.2018 06:15 - 24.04.2018 06:30,12186,11553
24.04.2018 06:30 - 24.04.2018 06:45,12672,11846
24.04.2018 06:45 - 24.04.2018 07:00,13142,12180
24.04.2018 07:00 - 24.04.2018 07:15,13547,12699
24.04.2018 07:15 - 24.04.2018 07:30,14036,13189
24.04.2018 07:30 - 24.04.2018 07:45,14395,13585
24.04.2018 07:45 - 24.04.2018 08:00,14682,13939
24.04.2018 08:00 - 24.04.2018 08:15,15103,14267
24.04.2018 08:15 - 24.04.2018 08:30,15331,14415
24.04.2018 08:30 - 24.04.2018 08:45,15501,14631
24.04.2018 08:45 - 24.04.2018 09:00,15610,14777
24.04.2018 09:00 - 24.04.2018 09:15,15604,14901
24.04.2018 09:15 - 24.04.2018 09:30,15541,15006
24.04.2018 09:30 - 24.04.2018 09:45,15415,14949
24.04.2018 09:45 - 24.04.2018 10:00,15201,15000
24.04.2018 10:00 - 24.04.2018 10:15,15091,15066
24.04.2018 10:15 - 24.04.2018 10:30,14879,15049
24.04.2018 10:30 - 24.04.2018 10:45,14737,15051
24.04.2018 10:45 - 24.04.2018 11:00,14649,15034
24.04.2018 11:00 - 24.04.2018 11:15,14542,14938
24.04.2018 11:15 - 24.04.2018 11:30,14458,14887
24.04.2018 11:30 - 24.04.2018 11:45,14361,14864
24.04.2018 11:45 - 24.04.2018 12:00,14272,14787
24.04.2018 12:00 - 24.04.2018 12:15,14218,14678
24.04.2018 12:15 - 24.04.2018 12:30,14102,14672
24.04.2018 12:30 - 24.04.2018 12:45,13992,14608
24.04.2018 12:45 - 24.04.2018 13:00,13933,14571
24.04.2018 13:00 - 24.04.2018 13:15,13991,14639
24.04.2018 13:15 - 24.04.2018 13:30,14116,14617
24.04.2018 13:30 - 24.04.2018 13:45,14122,14515
24.04.2018 13:45 - 24.04.2018 14:00,14133,14477
24.04.2018 14:00 - 24.04.2018 14:15,14096,14362
24.04.2018 14:15 - 24.04.2018 14:30,14017,14288
24.04.2018 14:30 - 24.04.2018 14:45,13996,14168
24.04.2018 14:45 - 24.04.2018 15:00,13984,14066
24.04.2018 15:00 - 24.04.2018 15:15,13995,13945
24.04.2018 15:15 - 24.04.2018 15:30,14036,13957
24.04.2018 15:30 - 24.04.2018 15:45,14152,13950
24.04.2018 15:45 - 24.04.2018 16:00,14255,13932
24.04.2018 16:00 - 24.04.2018 16:15,14306,14013
24.04.2018 16:15 - 24.04.2018 16:30,14378,14056
24.04.2018 16:30 - 24.04.2018 16:45,14480,14178
24.04.2018 16:45 - 24.04.2018 17:00,14609,14340
24.04.2018 17:00 - 24.04.2018 17:15,14863,14465
24.04.2018 17:15 - 24.04.2018 17:30,15047,14623
24.04.2018 17:30 - 24.04.2018 17:45,15204,14673
24.04.2018 17:45 - 24.04.2018 18:00,15291,14730
24.04.2018 18:00 - 24.04.2018 18:15,15211,14553
24.04.2018 18:15 - 24.04.2018 18:30,15082,14292
24.04.2018 18:30 - 24.04.2018 18:45,15006,14204
24.04.2018 18:45 - 24.04.2018 19:00,14987,14210
24.04.2018 19:00 - 24.04.2018 19:15,14989,14079
24.04.2018 19:15 - 24.04.2018 19:30,14994,14010
24.04.2018 19:30 - 24.04.2018 19:45,14996,13966
24.04.2018 19:45 - 24.04.2018 20:00,15027,13957
24.04.2018 20:00 - 24.04.2018 20:15,15048,13824
24.04.2018 20:15 - 24.04.2018 20:30,15113,13788
24.04.2018 20:30 - 24.04.2018 20:45,15197,13818
24.04.2018 20:45 - 24.04.2018 21:00,15245,13827
24.04.2018 21:00 - 24.04.2018 21:15,15245,13964
24.04.2018 21:15 - 24.04.2018 21:30,15185,13929
24.04.2018 21:30 - 24.04.2018 21:45,15010,13756
24.04.2018 21:45 - 24.04.2018 22:00,14766,13546
24.04.2018 22:00 - 24.04.2018 22:15,14467,13214
24.04.2018 22:15 - 24.04.2018 22:30,14242,12911
24.04.2018 22:30 - 24.04.2018 22:45,13956,12677
24.04.2018 22:45 - 24.04.2018 23:00,13631,12458
24.04.2018 23:00 - 24.04.2018 23:15,13389,12270
24.04.2018 23:15 - 24.04.2018 23:30,13221,12053
24.04.2018 23:30 - 24.04.2018 23:45,12947,11819
24.04.2018 23:45 - 25.04.2018 00:00,12658,11531
25.04.2018 00:00 - 25.04.2018 00:15,12390,11342
25.04.2018 00:15 - 25.04.2018 00:30,12196,11127
25.04.2018 00:30 - 25.04.2018 00:45,11946,10947
25.04.2018 00:45 - 25.04.2018 01:00,11755,10782
