ManufacturerID;ManufacturerName;TurbineID;TurbineName;RatedPowerkW;Offshore;MinimumHubHeightM;MaximumHubHeightM;CutInMS;RatedMS;CutOffMS;Voltage;AvailableSince;ws0;ws0_5;ws1;ws1_5;ws2;ws2_5;ws3;ws3_5;ws4;ws4_5;ws5;ws5_5;ws6;ws6_5;ws7;ws7_5;ws8;ws8_5;ws9;ws9_5;ws10;ws10_5;ws11;ws11_5;ws12;ws12_5;ws13;ws13_5;ws14;ws14_5;ws15;ws15_5;ws16;ws16_5;ws17;ws17_5;ws18;ws18_5;ws19;ws19_5;ws20;ws20_5;ws21;ws21_5;ws22;ws22_5;ws23;ws23_5;ws24;ws24_5;ws25;ws25_5;ws26;ws26_5;ws27;ws27_5;ws28;ws28_5;ws29;ws29_5;ws30;ws30_5;ws31;ws31_5;ws32;ws32_5;ws33;ws33_5;ws34;ws34_5;ws35;Conditions
143;Wobben;1392;E126/7580;7580;No;135;135;2.5;17;25;690;#ND;0;0;0;0;0;25;55;110;175;293;410;585;760;1005;1250;1575;1900;2300;2700;3240;3750;4310;4850;5310;5750;6135;6500;6770;7000;7195;7350;7440;7500;7550;7580;7580;7580;7580;7580;7580;7580;7580;7580;7580;7580;7580;7580;7580;7580;7580;7580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Air density: 1,225 kg/m3
143;Wobben;1391;E115/3000;3000;No;92;149;2;12;25;690;#ND;0;0;0;0;3;22;49;92;155;240;339;480;628;830;1035;1292;1549;1820;2090;2350;2580;2775;2900;2980;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
143;Wobben;1389;E101/3050;3050;No;99;149;2;13;25;690;2012;0;0;0;0;3;20;37;78;118;188;258;369;479;635;790;995;1200;1455;1710;2025;2340;2650;2867;2975;3034;3046;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;3050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Air density: 1,225 kg/m3
143;Wobben;1388;E53/800;800;No;60;75;2;13;25;400 - 690;#ND;0;0;0;0;2;8;14;26;38;57;77;109;141;185;228;282;336;408;480;562;645;710;744;765;785;802;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Air density: 1,225 kg/m3
143;Wobben;1387;E82/2350;2350;No;78;84;2;14;25;690;2016;0;0;0;0;3;12;25;50;82;125;174;245;321;427;532;674;815;998;1180;1380;1580;1735;1890;1995;2100;2175;2250;2315;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
72;Leitwind;1393;LTW90-2000;2000;No;80;97.5;3;13;25;690;2016;0;0;0;0;0;0;39;72;107;161;216;298;379;491;602;752;901;1081;1261;1447;1633;1761;1887;1967;1982;1995;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;301;WT2000df/86;2000;No;70;80;3.5;12;25;#ND;#ND;0;0;0;0;0;0;0;30;61;115;170;242;314;414;514;649;784;976;1168;1388;1608;1784;1960;1990;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;300;WT2000df/93;2000;No;70;70;3.5;11;25;#ND;#ND;0;0;0;0;0;0;0;35;69;128;186;270;354;488;622;787;951;1148;1344;1584;1824;1960;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;415;WT2000fc/100;2000;No;80;100;3;10.5;25;#ND;#ND;0;0;0;0;0;0;25;52;81;150;222;335;450;605;760;945;1130;1337;1541;1735;1912;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
43;Windtec;434;WT2000df/100;2000;No;80;100;3;10.5;25;#ND;#ND;0;0;0;0;0;0;25;52;81;150;222;335;450;605;760;945;1130;1337;1541;1735;1912;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
