DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2001-11,74.2,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2001-12,74.0,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-01,74.2,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-02,74.3,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-03,74.6,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-04,74.6,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-05,74.6,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-06,74.4,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-07,74.3,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-08,74.3,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-09,74.5,s
ESTAT:STS_INPP_M(1.0),21/01/25 11:00:00,Monthly,Producer prices,"Industry (except construction, sewerage, waste management and remediation activities)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Euro area – 20 countries (from 2023),2002-10,74.7,s
