timestep;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2030-01-01 00:00:00;469.4869869480027;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 01:00:00;469.4297781943387;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 02:00:00;468.7034155896963;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 03:00:00;468.0722007948979;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 04:00:00;467.868501889341;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 05:00:00;467.6330289321996;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 06:00:00;467.5789222615017;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 07:00:00;465.7932750322645;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 08:00:00;465.7719773394026;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 09:00:00;466.0748475991044;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 10:00:00;466.6465626484117;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 11:00:00;467.2558437049921;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 12:00:00;467.5042078487763;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 13:00:00;467.6729734541913;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 14:00:00;467.6781117722476;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 15:00:00;467.5214021498336;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 16:00:00;467.6080817625557;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 17:00:00;467.5293547410302;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 18:00:00;467.7519183549278;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 19:00:00;467.5777239258419;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 20:00:00;467.4569280600188;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 21:00:00;467.4248271896181;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 22:00:00;466.8049063649071;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 23:00:00;466.3837640069079;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 00:00:00;465.9042663335989;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 01:00:00;466.0583795620833;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 02:00:00;466.0823462752784;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 03:00:00;465.9912727651372;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 04:00:00;465.959081111732;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 05:00:00;465.7801114966081;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 06:00:00;465.6518532678129;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 07:00:00;466.5175963121811;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 08:00:00;467.8379624866183;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 09:00:00;469.6626069464853;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 10:00:00;470.4682516768402;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 11:00:00;470.9344299529102;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 12:00:00;471.3947158504744;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 13:00:00;470.9970822676964;1075.0844963913657;0.0;210.02100210021004;0.0;0.0;0.0;0.0
