timestep;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2030-01-01 00:00:00;79.63307064594704;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 01:00:00;79.62413365633022;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 02:00:00;79.51065224999655;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 03:00:00;79.44835230627844;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 04:00:00;79.4329790946085;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 05:00:00;79.41520788664457;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 06:00:00;79.41112444152678;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 07:00:00;79.27636116065477;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 08:00:00;79.274753817996;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 09:00:00;79.2976115186704;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 10:00:00;79.34075900855923;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 11:00:00;79.38674161520939;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 12:00:00;79.4054857245269;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 13:00:00;79.41822251055702;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 14:00:00;79.41861030081483;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 15:00:00;79.40678338309286;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 16:00:00;79.41332511698288;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 17:00:00;79.40738356730814;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 18:00:00;79.42418050363491;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 19:00:00;79.4110340028094;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 20:00:00;79.4019175060414;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 21:00:00;79.39949484464267;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 22:00:00;79.35270925180492;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 23:00:00;79.32092552378246;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 00:00:00;79.28473770428062;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 01:00:00;79.2963686714483;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 02:00:00;79.29817744579579;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 03:00:00;79.29130410327538;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 04:00:00;79.28887459045868;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 05:00:00;79.27536770504724;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 06:00:00;79.26568802172108;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 07:00:00;79.33102588417279;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 08:00:00;79.43067427759905;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 09:00:00;79.59123725802732;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 10:00:00;79.73249157229628;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 11:00:00;79.79241681454155;0.0;0.0;0.0;0.0;0.0;0.0;0.0
