Specific_rotational_speed,Eta_design
0.319202306,0.912736365
0.457127787,0.920934588
0.635015797,0.927808959
0.841227597,0.930649928
1.030077923,0.930777482
1.207386142,0.929546395
1.40160489,0.924724479
1.698381958,0.913667893
1.989275236,0.900355926
2.222941143,0.887005307
