;Rotterdam;Zeeland;Chemelot;Dordrecht;Venlo;Arnhem
Rotterdam;0.0;25125.170041817662;0.0;0.0;0.0;0.0
Zeeland;25125.170041817662;0.0;16552.79017315103;0.0;0.0;0.0
Chemelot;0.0;16552.79017315103;0.0;0.0;0.0;0.0
Dordrecht;0.0;0.0;0.0;0.0;0.0;0.0
Venlo;0.0;0.0;0.0;0.0;0.0;0.0
Arnhem;0.0;0.0;0.0;0.0;0.0;0.0
