;Rotterdam;Zeeland;Chemelot;Dordrecht;Venlo;Arnhem
Rotterdam;0.0;64.12254580906884;0.0;0.0;0.0;0.0
Zeeland;64.12254580906884;0.0;147.7360067573529;0.0;0.0;0.0
Chemelot;0.0;147.7360067573529;0.0;0.0;0.0;0.0
Dordrecht;0.0;0.0;0.0;0.0;0.0;0.0
Venlo;0.0;0.0;0.0;0.0;0.0;0.0
Arnhem;0.0;0.0;0.0;0.0;0.0;0.0
