timestep;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2030-01-01 00:00:00;194.6586171345372;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 01:00:00;194.6367711599183;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 02:00:00;194.3593721666583;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 03:00:00;194.2070834153473;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 04:00:00;194.1695044534875;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 05:00:00;194.126063722909;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 06:00:00;194.1160819681766;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 07:00:00;193.7866606149339;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 08:00:00;193.7827315551013;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 09:00:00;193.8386059345277;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 10:00:00;193.9440775764782;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 11:00:00;194.0564795038452;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 12:00:00;194.1022984377324;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 13:00:00;194.1334328035838;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 14:00:00;194.1343807353252;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 15:00:00;194.1054704920048;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 16:00:00;194.1214613970693;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 17:00:00;194.1069376089754;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 18:00:00;194.1479967866631;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 19:00:00;194.1158608957563;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 20:00:00;194.093576125879;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 21:00:00;194.0876540646821;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 22:00:00;193.9732892821899;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 23:00:00;193.8955957248016;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 00:00:00;193.8071366104637;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 01:00:00;193.8355678635403;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 02:00:00;193.8399893119453;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 03:00:00;193.8231878080065;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 04:00:00;193.817248998899;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 05:00:00;193.7842321678933;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 06:00:00;193.7605707197627;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 07:00:00;193.9202854946446;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 08:00:00;194.1638704563533;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 09:00:00;194.5563577418446;0.0;0.0;0.0;0.0;0.0;0.0;0.0
