T;GT;GT;HP;HP;MP;MP;cst;cst;DB;DB;OHB;OHB
;alpha_1;alpha_2;alpha_1;alpha_2;alpha_1;alpha_2;alpha_1;alpha_2;alpha_1;alpha_2;alpha_1;alpha_2
0;0.153344744;0.149132709;-0.245134327;-0.243964081;-0.307260142;-0.312674499;12.90976151;13.99908091;0.281437264;0.28932544;0.501438474;0.509572193
10;0.155083257;0.150751024;-0.247129296;-0.244151583;-0.310092012;-0.31276715;12.73712013;13.5921813;0.279894541;0.288924627;0.498001625;0.511272346
20;0.153690194;0.152633069;-0.244842785;-0.244548268;-0.308660123;-0.313839487;13.07327582;13.13278203;0.273598053;0.287531661;0.49586446;0.512836295
30;0.154355785;0.154982263;-0.243699797;-0.244759924;-0.304521509;-0.314882444;12.82257981;12.55062447;0.269916851;0.286014413;0.497794123;0.514459547
