T;GT;GT;HP;HP;MP;MP;cst;cst;DB;DB;OHB;OHB
;alpha_1;alpha_2;alpha_1;alpha_2;alpha_1;alpha_2;alpha_1;alpha_2;alpha_1;alpha_2;alpha_1;alpha_2
0;0.049574056;0.035826091;-0.133981414;-0.116638402;0.005739595;0.048349974;6.003317558;9.174532533;0.177124441;0.16218194;-0.005789399;-0.053684701
10;0.051781774;0.037885196;-0.1336486;-0.118064351;0.004742678;0.046322597;5.312452802;8.591325447;0.174546238;0.16102447;-0.004685936;-0.051905732
20;0.055149784;0.040398623;-0.134643018;-0.119919344;0.001785596;0.044132615;4.420010859;7.911145977;0.175622;0.161388903;-0.003150838;-0.05089984
30;0.057280772;0.043274351;-0.134240853;-0.122320634;-0.000549425;0.042427663;3.807044483;7.18957989;0.177361451;0.160650674;-0.000582269;-0.049468956
