;Rotterdam;Zeeland;North_Sea;North_Netherlands;Chemelot;Arnhem;Dordrecht;Venlo;Zuidwending
Rotterdam;0.0;0.0;0.0;0.0;0.0;97.6098006987638;19.85568266288789;132.0095407698809;0.0
Zeeland;0.0;0.0;0.0;0.0;0.0;151.0799495087421;66.02298053724415;161.3009148133857;0.0
North_Sea;0.0;0.0;0.0;0.0;0.0;88.95305059243086;71.48354866098403;150.4260166139236;0.0
North_Netherlands;0.0;0.0;0.0;0.0;0.0;174.9072677617357;234.5655950911369;236.3695705975886;0.0
Chemelot;0.0;0.0;0.0;0.0;0.0;112.4574676902759;119.9181782551764;50.47153437638812;0.0
Arnhem;97.6098006987638;151.0799495087421;88.95305059243086;174.9072677617357;112.4574676902759;0.0;86.35446456535581;71.17574717444866;141.9110865527906
Dordrecht;19.85568266288789;66.02298053724415;71.48354866098403;234.5655950911369;119.9181782551764;86.35446456535581;0.0;113.3747980161953;210.318067541218
Venlo;132.0095407698809;161.3009148133857;150.4260166139236;236.3695705975886;50.47153437638812;71.17574717444866;113.3747980161953;0.0;199.1548292267667
Zuidwending;0.0;0.0;0.0;0.0;0.0;141.9110865527906;210.318067541218;199.1548292267667;0.0
