;lon;lat;alt
Rotterdam;4.48;51.92;0.0
Zeeland;3.9;51.5;0.0
Chemelot;5.82;50.97;50.0
Dordrecht;4.67;51.81;0.0
Venlo;6.17;51.37;20.0
Arnhem;5.9;51.98;10.0
