timestep;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2030-01-01 00:00:00;665.5748058465975;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 01:00:00;665.4506337136777;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 02:00:00;663.873749244373;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 03:00:00;662.9545011445936;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 04:00:00;662.7166219550223;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 05:00:00;662.44163708921;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 06:00:00;662.3784514233821;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 07:00:00;660.2931760283591;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 08:00:00;660.2683046236557;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 09:00:00;660.6219959295865;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 10:00:00;661.2896436630048;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 11:00:00;662.0011609073619;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 12:00:00;662.2912000761064;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 13:00:00;662.4882842250558;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 14:00:00;662.4942847429852;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 15:00:00;662.3112795477638;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 16:00:00;662.4125038325496;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 17:00:00;662.3205665684459;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 18:00:00;662.5804759280825;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 19:00:00;662.3770520093067;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 20:00:00;662.2359868298596;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 21:00:00;662.1984994952342;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 22:00:00;661.4745571501471;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-01 23:00:00;660.9827479156249;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 00:00:00;660.4227914562803;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 01:00:00;660.6027645876717;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 02:00:00;660.6307528691793;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 03:00:00;660.5243973994504;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 04:00:00;660.4868040486072;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 05:00:00;660.2778036767734;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 06:00:00;660.1280239642203;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 07:00:00;661.1390370239527;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 08:00:00;662.6809580993437;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 09:00:00;665.2265466386967;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 10:00:00;667.6273203252682;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 11:00:00;668.6207207579533;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 12:00:00;669.6015837946179;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 13:00:00;668.7542197464925;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 14:00:00;668.8176195741836;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 15:00:00;667.560194837697;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 16:00:00;667.594117109463;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 17:00:00;667.2475155765276;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 18:00:00;668.1955689630821;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 19:00:00;667.477746258822;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 20:00:00;669.6620659280276;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 21:00:00;668.3885211931932;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 22:00:00;667.7660410075482;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-02 23:00:00;667.7215316681829;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 00:00:00;667.3376787938048;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 01:00:00;666.1529042194672;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 02:00:00;665.3161427980655;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 03:00:00;664.5558082258437;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 04:00:00;663.9637122038804;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 05:00:00;663.9221047967127;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 06:00:00;665.0332031377304;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 07:00:00;667.413252710128;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 08:00:00;667.9326464232726;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 09:00:00;668.1390349753104;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 10:00:00;669.4273118869553;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 11:00:00;669.3942684553332;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 12:00:00;668.5471399907752;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 13:00:00;668.1469218050526;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 14:00:00;668.5187043570645;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 15:00:00;668.7149170022668;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 16:00:00;669.7073496150929;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
2030-01-03 17:00:00;671.4239372125446;1585.0693916711643;0.0;210.02100210021004;0.0;0.0;0.0;0.0
