,onDE,onBE,onDKW,onUK,onNL_NE,onNL_SE,onNL_NW,onNL_SW,onNL_CE,onNL_W,onNL_E,onNOS
0,11740.03461068639,2763.718056728228,360.287127086116,2027.1218885570174,606.4110864820965,606.4110864820965,606.4110864820965,606.4110864820965,606.4110864820965,606.4110864820965,606.4110864820965,0.0
1,11640.144628463853,2746.0885096251163,356.7382566317268,2021.3791514806644,602.5469286807204,602.5469286807204,602.5469286807204,602.5469286807204,602.5469286807204,602.5469286807204,602.5469286807204,0.0
2,11693.733656531422,2755.5464179509227,358.64215644386957,2024.4600179651907,604.6199740078698,604.6199740078698,604.6199740078698,604.6199740078698,604.6199740078698,604.6199740078698,604.6199740078698,0.0
3,11802.28908658879,2774.705326831608,362.4988911215856,2030.7009370159221,608.8193471842849,608.8193471842849,608.8193471842849,608.8193471842849,608.8193471842849,608.8193471842849,608.8193471842849,0.0
4,11878.985504652173,2788.241450122491,365.22374546600054,2035.1102616932938,611.7862819619583,611.7862819619583,611.7862819619583,611.7862819619583,611.7862819619583,611.7862819619583,611.7862819619583,0.0
5,12004.914211115272,2810.46656231922,369.6977142843222,2042.3499811876038,616.6577253506706,616.6577253506706,616.6577253506706,616.6577253506706,616.6577253506706,616.6577253506706,616.6577253506706,0.0
6,12168.481249280912,2839.334450166406,375.5088899011601,2051.75355173235,622.9851751360519,622.9851751360519,622.9851751360519,622.9851751360519,622.9851751360519,622.9851751360519,622.9851751360519,0.0
7,12345.067649566832,2870.500120560401,381.7826146999642,2061.9056134860743,629.8162677151013,629.8162677151013,629.8162677151013,629.8162677151013,629.8162677151013,629.8162677151013,629.8162677151013,0.0
8,12562.17992237277,2908.8181876471353,389.4961342451947,2074.3875328040313,638.2150687166724,638.2150687166724,638.2150687166724,638.2150687166724,638.2150687166724,638.2150687166724,638.2150687166724,0.0
9,12635.987386927476,2921.844440570372,392.1183504519013,2078.630769751112,641.0702468197525,641.0702468197525,641.0702468197525,641.0702468197525,641.0702468197525,641.0702468197525,641.0702468197525,0.0
