Rated_flow,Efficiency
0.05071315372424723, 0.05079872204472835
0.06973058637083984, 0.15143769968051113
0.09064976228209187, 0.26645367412140575
0.11442155309033275, 0.37188498402555903
0.15150554675118855, 0.4757188498402556
0.1895404120443741, 0.5699680511182108
0.23137876386687795, 0.6626198083067092
0.2751188589540413, 0.7233226837060702
0.32076069730586376, 0.7728434504792332
0.3778129952456418, 0.823961661341853
0.4557844690966719, 0.8702875399361023
0.5204437400950872, 0.8894568690095848
0.5946117274167988, 0.9118210862619809
0.664976228209192, 0.9198083067092652
0.7391442155309034, 0.923003194888179
0.8009508716323297, 0.9325878594249202
0.8760697305863709, 0.934185303514377
0.9483359746434235, 0.9325878594249202
0.9977812995245643, 0.9325878594249202

