timestep;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2030-01-01 00:00:00;121.6616357090858;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 01:00:00;121.6479819749489;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 02:00:00;121.4746076041614;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 03:00:00;121.379427134592;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 04:00:00;121.3559402834297;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 05:00:00;121.3287898268181;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 06:00:00;121.3225512301103;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 07:00:00;121.1166628843337;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 08:00:00;121.1142072219383;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 09:00:00;121.1491287090797;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 10:00:00;121.2150484852989;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 11:00:00;121.2852996899032;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 12:00:00;121.3139365235828;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 13:00:00;121.3333955022399;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 14:00:00;121.3339879595783;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 15:00:00;121.315919057503;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 16:00:00;121.3259133731683;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 17:00:00;121.3168360056097;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 18:00:00;121.3424979916644;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 19:00:00;121.3224130598477;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 20:00:00;121.3084850786744;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 21:00:00;121.3047837904263;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 22:00:00;121.2333058013687;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-01 23:00:00;121.184747328001;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 00:00:00;121.1294603815398;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 01:00:00;121.1472299147127;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 02:00:00;121.1499933199658;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 03:00:00;121.1394923800041;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 04:00:00;121.1357806243119;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 05:00:00;121.1151451049333;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 06:00:00;121.1003566998516;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 07:00:00;121.2001784341529;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 08:00:00;121.3524190352208;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 09:00:00;121.5977235886528;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 10:00:00;121.8135287910082;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 11:00:00;121.9050812444384;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 12:00:00;121.9954780920356;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 13:00:00;121.9173846782812;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 14:00:00;121.9232276056004;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 15:00:00;121.8073425315212;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 16:00:00;121.8214275243567;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 17:00:00;121.8455445156563;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 18:00:00;121.949781417896;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 19:00:00;121.8708589825656;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 20:00:00;122.111019833947;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 21:00:00;121.9709968336799;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 22:00:00;121.9025564969118;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-02 23:00:00;121.8976619200317;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-03 00:00:00;121.8554592787461;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-03 01:00:00;121.7251961233955;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-03 02:00:00;121.6331956633561;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-03 03:00:00;121.5495984674725;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-03 04:00:00;121.4844993388742;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-03 05:00:00;121.4799250657848;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-03 06:00:00;121.6020864193706;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-03 07:00:00;121.8637683359049;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030-01-03 08:00:00;121.9208745241577;0.0;0.0;0.0;0.0;0.0;0.0;0.0
