;Rotterdam;Zeeland;Dordrecht;Venlo
Rotterdam;0.0;25125.170041817662;0.0;0.0
Zeeland;25125.170041817662;0.0;0.0;0.0
Dordrecht;0.0;0.0;0.0;0.0
Venlo;0.0;0.0;0.0;0.0
