;Rotterdam;Zeeland;Dordrecht;Venlo
Rotterdam;0.0;64.12254580906884;0.0;0.0
Zeeland;64.12254580906884;0.0;0.0;0.0
Dordrecht;0.0;0.0;0.0;0.0
Venlo;0.0;0.0;0.0;0.0
