Date;Hour;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
01.01.;11;77338.16114;81090.73671;78061.4859;88729.74156;97336.71745;80149.92928;77336.69693;79744.74848;86519.56868;80721.46224;86439.85945;91336.38312;79678.79121;82417.24615;87286.08616;114686.3073;77802.39207;79175.01069;79852.82894;89236.7925;88386.35524;87363.87871;84518.87756;80320.11454;80255.12746;74000.51495;85523.89076;87343.91509;88326.17571;82393.82286;72788.5896;77437.98656;79120.98913;81214.97461;81172.02856
01.01.;12;78261.28329;81739.5986;79082.62152;89628.94503;97666.95877;81483.3102;78249.15027;80870.95549;87218.74671;81435.37185;87201.82749;90844.77266;80357.04585;83116.90357;87942.66295;113879.3118;78328.46978;79281.71277;80752.3644;89873.88954;88916.47247;87651.1611;84931.1788;81335.85463;81086.00148;74932.55368;86255.90894;87989.14936;89341.61091;82795.45731;74007.47167;78503.25431;79244.44859;81507.88648;81631.36113
01.01.;13;77552.99376;80656.19084;78258.62728;88989.06552;96733.76601;81001.5616;77396.77047;80164.60327;86479.9882;80465.39795;86049.34158;89226.18419;79321.21591;82508.13626;86975.9162;111757.9852;77068.15506;78053.93861;80118.18066;88614.95758;87805.5024;86547.32737;84111.40703;80278.3384;80117.12814;74063.83092;85449.83868;87123.99822;88813.3626;81720.33043;73243.4079;77850.97857;77771.03138;80194.38142;80607.98196
01.01.;14;76425.32415;79247.26177;77270.57793;88044.49697;95685.10654;79954.74474;76206.91302;79043.72723;85632.00125;79228.88487;84961.07886;87690.43674;77967.40678;81567.44895;85717.92294;110184.1952;75555.35569;76964.07615;79085.29592;87578.07649;86618.59047;85203.8672;83176.17583;79100.90865;78867.18548;73336.58119;84362.21632;85948.32345;88132.14177;80417.27924;72010.24184;76775.09018;76357.61921;78868.1269;79316.20477
01.01.;15;76439.74751;79195.19799;77051.54128;87946.79087;95867.47058;79621.81019;75917.297;78589.90862;85803.18972;78854.76451;84475.62384;87769.10369;77747.51702;81901.43667;85757.16837;110568.4033;75203.77447;77162.40381;78767.87941;87493.26269;86663.52126;84808.35945;83506.1131;78729.90761;78719.75884;73272.24041;84509.93278;86060.84094;88299.78332;80308.55504;71471.25902;76694.06749;76275.76976;79023.40125;79188.27996
01.01.;16;78567.29237;81654.06282;79055.59418;89945.39587;98313.46108;81000.78003;77965.93013;80155.15724;88342.43533;80777.32229;86405.56051;91125.78118;79985.78773;84381.17252;88086.25247;114151.9958;77599.23636;80170.92522;80695.93132;89233.80259;89226.98936;86625.14364;86261.34938;80496.40668;81192.43128;75574.28518;86876.52716;88369.28869;90453.20411;82596.01619;72967.16623;78532.71297;79110.2829;81832.52636;81642.76755
01.01.;17;82111.48336;86581.56747;82935.97493;93333.32851;102857.9373;83490.50245;81920.81072;83534.88753;92657.29557;85109.42943;90247.9807;96710.96782;84528.40498;88903.5277;92510.0178;119817.0364;82278.35995;85667.1419;84097.08832;92230.92677;93512.56856;89781.17809;90873.38669;83817.00947;85612.83539;79812.56445;91114.03961;92465.65521;93995.11037;86688.15323;75855.38179;82212.54862;84189.64801;86679.96977;85829.42943
01.01.;18;83192.46434;87648.23706;83876.64301;94275.79079;103632.4085;84045.65084;83068.16676;84488.47767;93842.00366;86314.3488;91241.89463;98584.74238;85568.51224;89908.2128;93333.78145;121865.8947;83563.25384;87102.1411;85091.24534;92882.01779;94744.75846;90205.09574;92291.55199;84634.51102;86943.3517;80775.58698;92084.66075;93186.6033;94994.18502;87675.14625;76499.2603;83319.62518;85218.38026;87667.46097;86934.55295
01.01.;19;81530.17035;85842.95224;82021.20917;92553.38033;101861.8478;82048.74271;81479.81138;82751.10089;92331.12808;84765.29822;89436.79476;97492.96983;83767.78199;88241.01851;91604.66419;121102.4094;82144.13062;85742.04603;83430.91544;90921.34675;93280.9068;88038.45243;91103.18317;82751.53182;85483.70884;79018.94384;90435.29676;91205.59224;93453.76354;86106.27116;74586.59989;81657.1145;83225.2162;85672.84937;85294.93174
01.01.;20;76644.90596;80617.36079;76888.64169;87418.03421;96749.66206;76786.90575;76659.07064;77741.54693;87535.56635;79800.58207;84225.03289;93015.36632;78647.33633;83246.70568;86435.13184;116526.096;77251.80356;81091.72721;78577.76408;85571.09568;88485.85;82587.50275;86575.85525;77610.19717;80957.72832;74226.4221;85441.6009;86044.91319;88636.0867;81377.65426;69522.62555;76883.45962;77985.71626;80522.01776;80349.24218
01.01.;21;72164.14957;75374.56846;72184.81212;82568.76249;91429.89013;72175.15002;72429.69954;73108.32553;82795.55779;75268.14101;79513.45348;88045.68107;73623.12775;78391.82557;80962.98309;111081.1183;72791.73263;76340.50526;73715.24263;80586.79978;83367.87571;77396.49888;81952.20615;72874.70757;76627.44738;69743.0348;80452.27337;80374.19701;83919.65325;76570.3268;64717.23702;72414.64297;72754.54068;75199.20728;75721.50764
