;Rotterdam;Zeeland;Chemelot;Dordrecht;Venlo;Arnhem
Rotterdam;0.0;0.0;0.0;1.0;1.0;1.0
Zeeland;0.0;0.0;0.0;1.0;1.0;1.0
Chemelot;0.0;0.0;0.0;1.0;1.0;1.0
Dordrecht;1.0;1.0;1.0;0.0;1.0;1.0
Venlo;1.0;1.0;1.0;1.0;0.0;1.0
Arnhem;1.0;1.0;1.0;1.0;1.0;0.0
