,DE00,BE00,DKW1,UK00,NL00,NL_on_Borssele,NL_on_Brabant,NL_on_East,NL_on_Holland_N,NL_on_Holland_S,NL_on_North,NL_on_South,NOS0
0,71384.96875,12134.6015625,3171.9453125,41699.6484375,19317.109375,567.8769337534796,3071.2128055613366,3086.90705689024,4864.69245034515,3815.0931578773507,2281.4809386682564,1629.8460319041853,14131.3271484375
1,67442.5078125,11723.013671875,3147.8505859375,40488.3671875,19032.880859375,560.2474197065411,3027.2018018047643,3038.7763685836576,4791.605098734895,3757.44442868544,2249.7545667899094,1607.8511750697937,13971.4951171875
2,64658.0078125,11435.107421875,3141.880859375,38735.484375,18894.763671875,556.537072932012,3005.810543551066,3015.398640721621,4756.095232399655,3729.436781960016,2234.3302285894115,1597.1551717212171,13874.8916015625
3,63139.671875,11255.7587890625,3168.9248046875,37159.55078125,18770.79296875,553.2051188200775,2986.607605598768,2994.4214515293597,4724.225819022143,3704.301193752194,2220.481559522247,1587.550220505214,13857.3818359375
4,62638.15625,11075.306640625,3238.9912109375,35851.14453125,18626.11328125,549.3145875761276,2964.1936491438128,2969.947478851473,4687.036823810142,3674.970905377023,2204.314473693336,1576.335362798088,13936.8984375
5,62599.25,11149.78515625,3402.39990234375,35707.2109375,18920.181640625,557.2200385439041,3009.747450252464,3019.7003530286784,4762.629882540699,3734.5907833683973,2237.1691629373754,1599.1239699534813,14250.771484375
6,61777.171875,11425.060546875,3607.359375,37676.57421875,19989.3046875,585.8899481823095,3175.2483023624986,3200.849671991925,5037.60641664044,3951.4952714730534,2356.435448501987,1681.7796283477858,14762.5791015625
7,60120.24609375,11920.4755859375,3749.087646484375,41104.7421875,20973.6484375,612.1946780177238,3327.476448387232,3367.9765660289877,5290.968479238523,4151.390914868202,2466.0113856147445,1757.6299653445894,15268.2041015625
8,62267.4453125,12461.892578125,3811.994140625,45410.671875,21595.0390625,628.7586114374571,3423.5066833786755,3473.6345613154654,5450.995737175728,4277.666497912484,2535.0783489560704,1805.398622324117,15828.6171875
9,66900.0859375,12797.861328125,3844.93359375,49849.953125,21813.98828125,634.5877354585531,3457.3315375536554,3510.8905513284053,5507.396958078453,4322.175244717923,2559.3959727655733,1822.2102813474376,16499.115234375
10,71702.5390625,13162.3603515625,3832.962890625,52541.2265625,21939.0859375,637.9165892524067,3476.654858898934,3532.1830691961413,5539.625473899687,4347.60895135982,2573.285789488177,1831.8112054048347,16977.078125
11,75088.5703125,13105.716796875,3794.51611328125,54184.15625,21822.072265625,634.802886485196,3458.580295633529,3512.266369528238,5509.479535006128,4323.818731388027,2560.2936430591594,1822.8308045247254,17161.5234375
12,77272.0234375,12859.4375,3783.58154296875,55078.19921875,21790.9921875,633.9756791968985,3453.779215621864,3506.976933818082,5501.4728153962815,4317.500159650578,2556.84234724719,1820.4450365691039,17216.953125
13,76378.203125,12630.853515625,3782.431640625,54857.296875,21764.484375,633.270106144247,3449.6843396327968,3502.465857190075,5494.644104743532,4312.111249745573,2553.8986321287075,1818.4100854150688,17286.162109375
14,73747.125,12601.244140625,3817.881591796875,54436.875,21858.4765625,635.7717062912521,3464.2036801168624,3518.4622686768125,5518.858051780977,4331.219910265317,2564.335931024821,1825.625014343957,17460.951171875
15,71916.9921875,12737.73046875,4004.072509765625,55282.36328125,22270.185546875,646.7215131079471,3527.7892873095047,3588.5596880957905,5624.937368574482,4414.936865599082,2610.034030916281,1857.2067932719065,17695.5078125
16,81503.4375,13494.4736328125,4196.748046875,58127.4609375,23216.09765625,671.8327948951564,3673.803932243875,3749.782731367326,5868.753346950754,4607.375054083705,2714.90938739873,1929.6404093104502,17572.033203125
17,73685.6796875,13990.234375,4103.38134765625,59907.31640625,23001.96875,666.1537261049838,3640.7590046528026,3713.2658683246564,5813.548688396593,4563.800899472945,2691.1822664401707,1913.2582966078476,17016.4609375
18,78865.828125,13959.2177734375,3937.949951171875,59008.78125,22660.14453125,657.0814286304923,3587.9972123184143,3654.9966211796377,5725.436418325988,4494.255004255442,2653.288959077953,1887.088887462074,16377.630859375
