,DE00,BE00,DKW1,UK00,NL00,NL_on_Borssele,NL_on_Brabant,NL_on_East,NL_on_Holland_N,NL_on_Holland_S,NL_on_North,NL_on_South,NOS0
0,82869.8671875,12955.515625,4008.46337890625,72222.984375,21529.49609375,635.2203010939334,3426.697962303025,3431.848078503108,5417.055754665702,4247.230101253423,2548.6275737505493,1822.81632218026,14913.3212890625
1,78811.5703125,12521.544921875,3980.66162109375,69641.1875,21189.125,626.056408835343,3373.949252920251,3374.3124078910246,5329.588577279615,4178.251266817253,2510.5649987719257,1796.4020874845864,14737.79296875
2,75219.0546875,12215.4990234375,3935.3134765625,65229.40234375,21005.666015625,621.1126680175672,3345.510669247262,3343.31739556635,5282.453243267232,4141.081123906776,2490.03814119555,1782.152774424268,14628.890625
3,72998.8203125,12016.9873046875,3931.8076171875,60294.2421875,20841.275390625,616.6800793296313,3320.023569340497,3315.553985431528,5240.22265298144,4107.779981227136,2471.637975782679,1769.3771465320847,14601.9599609375
4,72033.453125,11805.51953125,3989.556884765625,54776.46875,20657.853515625,611.7312874559015,3291.5809191416347,3284.5878300605877,5193.109429424403,4070.629974677556,2451.099912510529,1755.1141623543886,14667.1875
5,71426.8203125,11859.7734375,4148.6689453125,53099.0,20996.005859375,620.85226464874,3344.013074716812,3341.6856584745715,5279.971482126896,4139.124087209334,2488.9570639517015,1781.4022282469455,14980.6630859375
6,70376.1875,12139.314453125,4383.95556640625,54625.59375,22273.70703125,655.2210016648725,3541.973191523261,3557.781943485719,5608.37459645411,4398.124996036963,2631.75918946853,1880.472112616543,15530.923828125
7,68234.734375,12655.72265625,4545.80078125,58321.9140625,23449.09375,686.7155589246753,3723.883235013131,3757.0294230200375,5910.733809929858,4636.64036263353,2762.8164227154666,1971.2749377633038,16124.5615234375
8,70723.796875,13223.26953125,4644.1728515625,63474.984375,24203.81640625,706.8820898812364,3840.597363473644,3885.1775751808595,6104.997447467152,4789.9098816813075,2846.8261245727217,2029.4259239930805,16943.111328125
9,75544.6640625,13568.9580078125,4680.970703125,69125.1015625,24465.2265625,713.8574239125142,3881.0074709878472,3929.5997916761835,6172.303822177516,4843.017360070072,2875.8996898870337,2049.541003788831,18140.607421875
10,80628.4140625,13951.2724609375,4666.21533203125,72733.0859375,24615.26953125,717.8589172957676,3904.1983430495543,3955.1051684117865,6210.9405400826945,4873.504277391064,2892.581675167099,2061.080609852034,19126.173828125
