,DE00,BE00,DKW1,UK00,NL00,NL_on_Borssele,NL_on_Brabant,NL_on_East,NL_on_Holland_N,NL_on_Holland_S,NL_on_North,NL_on_South,NOS0
0,105124.078125,19936.93359375,4927.80126953125,84650.75,30432.435546875,888.0220505111755,4827.689723077981,4887.862415948348,7677.658710997679,6024.151312960187,3577.47680989101,2549.5745234886185,15618.3310546875
1,100962.296875,19179.349609375,4896.8837890625,81448.9921875,30068.90625,878.3210036238315,4771.492193166429,4826.089840283808,7584.0609914005745,5950.299254135137,3537.043661421786,2521.599305968433,15453.365234375
2,96671.78125,18518.052734375,4827.35498046875,76504.640625,29836.20703125,872.1072492267389,4735.513020039285,4786.563463047416,7524.156353964448,5903.0340652634895,3511.1517818757397,2503.6810978328826,15373.4306640625
3,93496.1875,17831.873046875,4803.1875,70851.3671875,29634.90625,866.7293598614787,4704.384404713344,4752.380013568005,7472.340067103686,5862.151785793769,3488.7470187030713,2488.1736002566486,15349.296875
4,91510.3515625,16907.20703125,4845.04345703125,64764.1953125,29451.21484375,861.8198119431029,4675.975440094482,4721.194719545396,7425.060936821289,5824.850193086285,3468.296834781146,2474.0169074782957,15297.859375
5,89113.484375,16631.7265625,5005.02392578125,63942.16796875,29863.056640625,872.8243743711305,4739.6646787082955,4791.123544969144,7531.0680144959715,5908.48734309382,3514.1396829150444,2505.7490020715977,15506.2666015625
6,85974.125,17112.478515625,5270.974609375,66044.75,31306.09765625,911.3061408146363,4962.698985548171,5036.431941626912,7902.662909490356,6201.701399223365,3674.572207382663,2616.7240721638987,16075.7646484375
7,85530.6875,17868.705078125,5440.9951171875,69657.4296875,32605.388671875,945.8589017299086,5163.360365515585,5257.66056790065,8237.439699948374,6465.905995562597,3818.7804333509075,2716.382707866979,16707.845703125
8,90089.3359375,18674.7890625,5543.8564453125,75661.40625,33469.1875,968.7839047516615,5296.689295333186,5404.911974339865,8460.10367100813,6641.652253456631,3914.535455608986,2782.5109455015413,17564.3203125
9,94249.5,19057.5,5573.1376953125,82033.765625,33778.5,976.9844041204699,5344.418328975102,5457.67235409071,8539.853890746566,6704.602051940924,3948.8020255096385,2806.166944616592,18786.166015625
10,97315.25,19628.6640625,5540.77734375,86492.546875,33951.82421875,981.5776555773033,5371.160319289596,5487.2439776918145,8584.546172026234,6739.880178296071,3967.998521567041,2819.4173943019387,19741.84765625
11,99261.375,19384.11328125,5460.8447265625,92026.640625,33808.75,977.7861558389918,5349.085726384674,5462.833073485563,8547.653758006909,6710.758881047772,3952.1526103025694,2808.4797949335175,20116.865234375
12,101615.078125,19033.65625,5435.4072265625,94592.46875,33771.1796875,976.7903788695614,5343.288837501803,5456.423515518771,8537.966384318815,6703.11215060557,3947.991188756643,2805.607231928838,20215.345703125
13,101338.703125,18704.939453125,5431.6328125,92500.59375,33719.96875,975.4329615613844,5335.3871072268275,5447.6872336825645,8524.762040043943,6692.689345097336,3942.3186181972405,2801.691444190703,20349.36328125
14,98855.90625,18662.66796875,5436.3603515625,88287.03125,33755.59765625,976.3773681584101,5340.88458649322,5453.765265904685,8533.948651530925,6699.940760837496,3946.2652193017548,2804.4158040235097,20626.921875
15,97611.0625,18675.244140625,5664.66796875,88675.796875,34204.41015625,988.2689778397062,5410.1275514632935,5530.347898859913,8649.68144272274,6791.296187726313,3995.967449472098,2838.720648165942,21013.59375
16,98161.71875,19505.0234375,5944.3720703125,91751.328125,35333.7734375,1018.1529523901261,5584.302353147117,5723.202337373692,8940.985804898184,7021.259168481795,4120.935197909463,2924.9356232996256,20875.658203125
17,101288.515625,20327.416015625,5860.1259765625,94761.4765625,34990.3671875,1009.0719216810113,5531.350331386008,5664.539273385921,8852.396618220573,6951.322056808843,4082.950915491415,2898.7360705262327,20006.490234375
18,108559.9296875,20520.05859375,5705.2958984375,95438.03125,34546.2421875,997.320008171199,5462.855703298267,5588.698637817788,8737.840357743056,6860.888451278751,4033.8071198986186,2864.831909292317,18983.931640625
19,109474.9453125,20368.22265625,5485.05810546875,93069.8984375,33950.046875,981.5305612749728,5370.886106276504,5486.940711168518,8584.087863032377,6739.518406192775,3967.8016897697753,2819.281537285078,18344.009765625
20,106349.1875,19921.482421875,5268.77880859375,89431.59375,33249.140625,962.9473003518696,5262.730148938778,5367.388047905143,8403.374505767719,6596.875033181702,3890.151104228983,2765.674484625807,17935.142578125
21,101856.359375,20394.6484375,5074.8154296875,94777.875,32351.830078125,939.1226263659231,5124.211945376939,5214.46228075109,8172.093482073105,6414.3320009778645,3790.655107645709,2696.952634934368,17435.576171875
22,102825.1171875,20754.3359375,5043.53466796875,89749.421875,31576.826171875,918.5129753101353,5004.521749969717,5082.501657085169,7972.404156203525,6256.737726483769,3704.6386270627772,2637.509279759906,16897.765625
23,103594.515625,20180.634765625,4926.498046875,84775.03125,30878.5859375,899.9177080468517,4896.643000628926,4963.71240153205,7792.550031944149,6114.809349686008,3627.0735262873013,2583.879919374719,16476.099609375
24,105404.3515625,19242.701171875,5233.34326171875,78095.328125,28108.841796875,825.8786320582251,4468.2666582796455,4493.53657722409,7079.688023368624,5552.391183819501,3318.6909184541087,2370.3898036708038,16319.1845703125
25,100305.3203125,18475.716796875,5187.78857421875,74803.9375,27707.373046875,815.1069481905841,4406.109684870994,4425.534384126178,6976.442998331903,5470.952960455605,3273.890295546134,2339.3357753536025,16138.4384765625
26,95800.5,17862.658203125,5119.78955078125,69957.4375,27518.5234375,810.0362213909294,4376.865140926067,4393.560411432054,6927.884687766995,5432.6525251686735,3252.806680152107,2324.7177706631733,16097.837890625
27,93045.1796875,17379.42578125,5111.4658203125,64450.04296875,27585.609375,811.8377985103799,4387.2542708130695,4404.917635409518,6945.133705777618,5446.257587841448,3260.2970202060997,2329.911356441867,16256.478515625
28,92237.1640625,17019.10546875,5257.1240234375,58672.62890625,28228.775390625,829.0944573026972,4486.8318811623785,4513.859101401374,7110.53545297287,5576.724127901151,3332.0692560447133,2379.661113839814,16912.904296875
29,92162.296875,17590.63671875,5778.2431640625,59398.78125,29898.71875,873.776806840502,4745.178876502497,4797.180567669177,7540.248335857997,5915.730616113823,3518.1080981148634,2508.495448901145,18338.744140625
30,94170.75,18457.53125,6428.2236328125,64657.62109375,32177.94921875,934.5012872539832,5097.362431207177,5184.845467470854,8127.285385953947,6378.968385620348,3771.3631132996775,2683.623147944011,19849.693359375
31,101173.9375,18999.609375,6677.5986328125,71357.96875,33723.16015625,975.517557757438,5335.87953961323,5448.231655486071,8525.58491214734,6693.338874905531,3942.6721351596752,2801.9354811807175,20555.09765625
32,109963.0390625,19503.8359375,6716.87890625,77356.2109375,34530.5390625,996.9043337161436,5460.433653812878,5586.017692163412,8733.79026706826,6857.6912771141815,4032.069122846962,2863.632715778164,21071.94921875
