;Rotterdam;Zeeland;Dordrecht;Venlo
Rotterdam;0.0;0.0;19.85568266288789;132.0095407698809
Zeeland;0.0;0.0;66.02298053724415;161.3009148133857
Dordrecht;19.85568266288789;66.02298053724415;0.0;113.3747980161953
Venlo;132.0095407698809;161.3009148133857;113.3747980161953;0.0
