Specific_rotational_speed;D_s
0.10626388712180022; 20.268077354921893
0.11129335366031637; 19.389099062916035
0.12512912153400071; 17.335105448793332
0.13989601797038992; 15.724710037696273
0.15649508808239976; 14.008529126259944
0.1692550019698968; 12.972555528531213
0.1867751546566336; 11.765641231931388
0.1991892729536833; 11.096458371452925
0.2156808458957524; 10.304143678682346
0.23810562909778873; 9.435847300098342
0.2636684582858087; 8.587945688044716
0.29184433015820965; 7.715459125063875
0.32468626175822957; 6.943515704177862
0.3631375257466137; 6.225488423799792
0.40402787262078677; 5.591406163712995
0.44945244396435746; 5.046723756380684
0.5026632057966824; 4.52940915480357
0.5413124149530477; 4.185084988409628
0.5994350193939098; 3.79270053869843
0.673264859120598; 3.5025480800233386
0.7559266521161777; 3.270104926457159
0.8482740771392063; 3.1062104798112844
0.9518616059705872; 2.9545939769892304
1.0299652500659768; 2.8798941794392183
1.1486068754684822; 2.7787295677684294
1.2883456862026552; 2.677269365955892
1.4452109732383978; 2.572423008312686
1.6210109131943908; 2.4796330525935053
1.8182485190110187; 2.3879979967643217
10.167517923931108; 1.402421211080294
10.75179947210701; 1.374991316377536
11.404823230474285; 1.349975131233993
12.15692645290107; 1.3183379920994795
12.792241792832272; 1.3009571417720283
13.577120665693704; 1.2716107810683068
14.349884222835554; 1.2497463331867744
15.163224544047255; 1.2265397706957197
16.096851299699914; 1.2013552006828718
17.144870126068547; 1.1760030476331855
18.061260588416655; 1.145252840640629
19.15496217047946; 1.120935263505534
2.0395147668817484; 2.2986944889297285
2.288305508303245; 2.1945331312427405
2.4368391470990622; 2.1597430411517076
2.5661402293983313; 2.1290046138221124
2.721515119074755; 2.0831930445182305
2.878460701468921; 2.048446633550023
20.260004728467873; 1.1009919579899883
21.527091768175907; 1.0747781223857338
22.734068100782473; 1.0472517007245545
24.05548217297607; 1.01838789338966
25.190561553291538; 0.9912608393732356
3.0579699236604387; 2.0093032051381075
3.228511793833751; 1.9763696470138299
3.436019880422714; 1.9380342022560646
3.6210920502681736; 1.9075063706790223
3.83742195915719; 1.8693424603073743
4.061618589745102; 1.8380474894261165
4.284911333759242; 1.8138191324475923
4.555223306358346; 1.7774462399310775
4.8439858716764785; 1.7494376362999748
5.108963748873693; 1.71726662776603
5.4098690929377655; 1.687430516648449
5.729851345217003; 1.6606475774110003
6.078679064170732; 1.6275781807507401
6.4260081633512165; 1.6073694590999015
6.828889221128339; 1.579194030600739
7.206996402436405; 1.5540913145719786
7.673129465221909; 1.5231807899756389
8.082926843236159; 1.502435924503238
8.567908288655447; 1.4779391779182975
9.065369065455306; 1.452233532383918
9.627139556107565; 1.4255173974417636
