;Rotterdam;Zeeland;North_Sea;North_Netherlands;Chemelot;Arnhem;Dordrecht;Venlo;Zuidwending
Rotterdam;0.0;25125.170041817662;25738.56219652446;0.0;0.0;0.0;0.0;0.0;0.0
Zeeland;25125.170041817662;0.0;0.0;0.0;16552.79017315103;0.0;0.0;0.0;0.0
North_Sea;25738.56219652446;0.0;0.0;15160.280578818616;0.0;0.0;0.0;0.0;0.0
North_Netherlands;0.0;0.0;15160.280578818616;0.0;0.0;0.0;0.0;0.0;31601.361736616615
Chemelot;0.0;16552.79017315103;0.0;0.0;0.0;0.0;0.0;0.0;12772.639667137526
Arnhem;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dordrecht;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Venlo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zuidwending;0.0;0.0;0.0;31601.361736616615;12772.639667137526;0.0;0.0;0.0;0.0
