;Rotterdam;Zeeland;North_Sea;North_Netherlands;Chemelot;Arnhem;Dordrecht;Venlo;Zuidwending
Rotterdam;0.0;64.12254580906884;61.10267313480923;0.0;0.0;0.0;0.0;0.0;0.0
Zeeland;64.12254580906884;0.0;0.0;0.0;147.7360067573529;0.0;0.0;0.0;0.0
North_Sea;61.10267313480923;0.0;0.0;176.1222794489458;0.0;0.0;0.0;0.0;0.0
North_Netherlands;0.0;0.0;176.1222794489458;0.0;0.0;0.0;0.0;0.0;40.53378702954246
Chemelot;0.0;147.7360067573529;0.0;0.0;0.0;0.0;0.0;0.0;248.1232466087834
Arnhem;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dordrecht;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Venlo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zuidwending;0.0;0.0;0.0;40.53378702954246;248.1232466087834;0.0;0.0;0.0;0.0
