10, 20.238348171325995
12, 30.939567117624833
14, 37.580880404086656
16.000000000000004, 43.820616044317504
18, 49.04394226463092
20, 53.74136018069032
22.000000000000004, 57.927228116844226
24, 61.53747736432772
26, 64.48407540142387
28.000000000000007, 67.34834699982692
30, 69.96031069289239
32, 72.18290164048513
34, 74.09561981231822
36, 75.79937928933217
38.00000000000001, 77.35278291496485
40, 78.82402085687362
42, 80.01600165965249
44.00000000000001, 81.5095163544635
46, 82.60478171716868
48.00000000000001, 83.68917534552637
50.00000000000001, 84.42686665136422
52.00000000000001, 85.2809576415486
54, 85.97052393478157
56, 86.75185169644222
58.00000000000002, 87.28103490025121
60.00000000000001, 88.04506529086945
62.00000000000001, 88.66906070161275
64, 89.33967308605058
66, 89.672959792307
68.00000000000003, 90.3097907254454
70, 90.75305618918048
72, 91.14496327538049
74, 91.43273172624694
76, 91.79833016116365
78.00000000000003, 92.49075509690879
80.00000000000003, 92.7859118607381
82, 93.15175931388785
84, 93.42336066893898
86, 93.78648082542006
88.00000000000003, 94.01740025974084
90.00000000000003, 94.14460981906339
92, 94.23928095032963
94, 94.31010347882491
96, 94.28872623386101
98.00000000000003, 94.19612656689974
100.00000000000003, 94.02811460752476
102, 93.87866794252841
104, 93.58137052860906
106, 93.27584299497511
108.00000000000003, 92.77244858462679
110.00000000000003, 92.27019387255714
112.00000000000003, 91.66026133079357
114.00000000000003, 91.02219462001325
116.00000000000003, 90.39010892694075
118, 89.97919190126626
120, 89.28674134074028
