Specific_rotational_speed;D_s
0.050301266;27.49412302
0.075472976;21.90856067
0.09739043;18.29919979
0.124501541;15.13910404
0.166850398;12.17403428
0.221540925;9.513658016
0.425215324;5.488978254
0.694873119;3.792828772
1.247405748;2.697663019
2.095660424;2.08992234
3.32622752;1.746906297
5.855944504;1.41959005
