Specific_rotational_speed;D_s
0.1109279114885885; 20.12484027374515
0.11971895300170188; 18.801353077569
0.1415985693678959; 15.937682393826204
0.15600249043046738; 14.503698826684285
0.1693213887098047; 13.487653430219343
0.18810052148037013; 12.042900382162086
0.2095316800801236; 10.865864080381241
0.2295436702897518; 9.987247912829522
0.2540381457525802; 9.046345362577824
0.28241806512338213; 8.126142844394009
0.32474880221333946; 7.099239691339507
0.36322111758400033; 6.383596022373293
0.4020506934806706; 5.7520133965258715
0.44882829178311145; 5.178637355239813
0.5002064754780574; 4.652290214337075
0.5618150972830366; 4.123733507715047
0.6228842454097171; 3.7305171548708116
0.6995106471949046; 3.4666293371870425
0.7851963007868682; 3.2667031819856756
0.8811444074447007; 3.1027597831713516
1.0047021262579556; 2.962277252770963
1.099532755202831; 2.865269121770484
1.2437480594018107; 2.75567248812789
1.3948161470672047; 2.6690428107077047
1.56486727338095; 2.554042374345299
1.7554041861555563; 2.4542558072514806
1.9691714031544831; 2.357270526503217
2.2083164191311098; 2.2842282357187584
2.47707776862577; 2.1981975675398777
2.760912780552296; 2.099009600110507
3.102486014914256; 2.044843660646565
3.4596615651622002; 1.9668113559578004
3.8807255658204896; 1.8926086738439218
4.352900186955955; 1.8229015120996583
4.882753416677863; 1.7533119552933127
5.475651569103391; 1.6997748286232586
6.140160758291167; 1.6509431295195434
6.886171423295448; 1.597554903708752
7.722258396143971; 1.5492544258002707
8.616454704197103; 1.4962701052886664
9.765453319882548; 1.4397358296732992
10.572479904311098; 1.4134536094902135
10.965843370262174; 1.3883627854386358
11.510898334813485; 1.3636752291926109
12.609984028717056; 1.3281722100269273
13.711485111738853; 1.283210064858126
15.380744190779978; 1.2336490148440693
17.254835181559553; 1.1826948208445354
19.35486427267274; 1.138074818238275
21.267674821224134; 1.0937956855689983
22.701248138681418; 1.0607737868474267
24.245764690136234; 1.0302538871309792



