Specific_rotational_speed,D_s
0.04963688409702696, 27.62526905890561
0.0604300454112697, 24.63796053692172
0.06774249897060149, 23.12083994699899
0.07691489490591547, 21.28503086508553
0.08732924158814051, 19.594986166860615
0.09790358485373393, 18.15402542681005
0.10837451532629037, 16.926151305300124
0.1184569965030883, 15.780303891319809
0.12947748811872806, 14.712026757342507
0.1415282447461419, 13.628379319623825
0.15469513974301433, 12.705780737201627
0.17124604479295688, 11.77067040187375
0.18481778726111786, 11.043726527489124
0.20073809679195964, 10.295767330858698
0.22364119711720218, 9.416765509073553
0.2398432566094607, 8.834910066149355
0.27062951345678277, 7.978154296546332
0.29959485002102115, 7.343732292252286
0.3602297415335044, 6.301940784262774
0.40906284071006194, 5.654617685961533
0.444284088121038, 5.305566470506251
0.25075635018960285, 8.503309494869459
0.4918355838104264, 4.88366837365057
0.5876278222077728, 4.217693494734959
0.6422517342378249, 3.9829332980196317
0.7479545127794891, 3.620421271275033
0.8174818563879779, 3.418905724709628
0.9889258121388202, 3.0687162508819545
1.1086317493979347, 2.861344494785995
1.2116437350784255, 2.719465808337058
1.3411362522227068, 2.568264543552789
1.5419533880064415, 2.410431974431835
1.7729026758299784, 2.2478357094346104
2.01267154748092, 2.1231319747830413
2.358463150754216, 1.9801080122499544
2.9072386981381215, 1.835387954798785
2.4969085043939376, 1.942939068002093
3.6524992138917582, 1.6905329499869048
5.801921263429966, 1.4250949345646156
