Specific_rotational_speed;Eta_design
0.20374178;0.722329833
0.226727471;0.765240767
0.250174423;0.793949842
0.284452361;0.823716065
0.32344751;0.843091164
0.3677927;0.860576967
0.427274826;0.879087776
0.504972223;0.89388428
0.607118697;0.90874507
0.714483831;0.915968321
0.862755309;0.920454058
1.032975579;0.913571881
1.179827893;0.905568268
1.388689921;0.887286032
1.627554155;0.867098429
1.735782822;0.853169787
